Column,Null_Count_W1,Null_%_W1,Null_Count_W2,Null_%_W2,Diff_Count (W2-W1),Diff_% (W2-W1),More_Missing_In
special_information,7271,68.29,7291,68.48,20,0.18999999999999773,Week2
image_url_3,6964,65.4,6972,65.48,8,0.0799999999999983,Week2
warning,6875,64.57,6860,64.43,-15,-0.13999999999998636,Week1
country_of_origin,6692,62.85,6665,62.6,-27,-0.25,Week1
label_information,6497,61.02,6512,61.16,15,0.13999999999999346,Week2
instructionforuse,5689,53.43,5669,53.25,-20,-0.17999999999999972,Week1
features,5328,50.04,5344,50.19,16,0.14999999999999858,Week2
image_url_2,4433,41.63,4430,41.61,-3,-0.020000000000003126,Week1
rating,2391,22.45,2375,22.31,-16,-0.14000000000000057,Week1
review,2391,22.45,2375,22.31,-16,-0.14000000000000057,Week1
ingredients,2315,21.74,2314,21.73,-1,-0.00999999999999801,Week1
producthierarchy_level4,545,5.12,498,4.68,-47,-0.4400000000000004,Week1
promotion_valid_from,417,3.92,396,3.72,-21,-0.19999999999999973,Week1
price_valid_from,417,3.92,396,3.72,-21,-0.19999999999999973,Week1
producthierarchy_level3,91,0.85,46,0.43,-45,-0.42,Week1
producthierarchy_level2,83,0.78,38,0.36,-45,-0.42000000000000004,Week1
currency,0,0.0,0,0.0,0,0.0,Same
breadcrumb,0,0.0,0,0.0,0,0.0,Same
competitor_name,0,0.0,0,0.0,0,0.0,Same
brand,0,0.0,0,0.0,0,0.0,Same
barcode,0,0.0,0,0.0,0,0.0,Same
competitor_product_key,0,0.0,0,0.0,0,0.0,Same
extraction_date,0,0.0,0,0.0,0,0.0,Same
image_url_1,0,0.0,0,0.0,0,0.0,Same
grammage_unit,0,0.0,0,0.0,0,0.0,Same
grammage_quantity,0,0.0,0,0.0,0,0.0,Same
instock,0,0.0,0,0.0,0,0.0,Same
price_per_unit,0,0.0,0,0.0,0,0.0,Same
product_unique_key,0,0.0,0,0.0,0,0.0,Same
product_name,0,0.0,0,0.0,0,0.0,Same
organictype,0,0.0,0,0.0,0,0.0,Same
producthierarchy_level1,0,0.0,0,0.0,0,0.0,Same
product_description,0,0.0,0,0.0,0,0.0,Same
pdp_url,0,0.0,0,0.0,0,0.0,Same
selling_price,0,0.0,0,0.0,0,0.0,Same
site_shown_uom,0,0.0,0,0.0,0,0.0,Same
regular_price,0,0.0,0,0.0,0,0.0,Same
retail_limit,0,0.0,0,0.0,0,0.0,Same
unique_id,0,0.0,0,0.0,0,0.0,Same
