Column,Null_Count_W1,Null_%_W1,Null_Count_W2,Null_%_W2,Null_%_Diff (W2-W1)
allergens,10165,95.46,10165,95.47,0.010000000000005116
image_url_6,9962,93.56,9968,93.62,0.060000000000002274
image_url_5,9523,89.43,9533,89.54,0.10999999999999943
nutritional_information,9446,88.71,9438,88.64,-0.06999999999999318
labelling,9234,86.72,9223,86.63,-0.09000000000000341
color,8932,83.88,8937,83.94,0.060000000000002274
image_url_4,8736,82.04,8751,82.19,0.14999999999999147
variants,8656,81.29,8657,81.31,0.01999999999999602
storage_instructions,8104,76.11,8098,76.06,-0.04999999999999716
special_information,7271,68.29,7291,68.48,0.18999999999999773
image_url_3,6964,65.4,6972,65.48,0.0799999999999983
warning,6875,64.57,6860,64.43,-0.13999999999998636
country_of_origin,6692,62.85,6665,62.6,-0.25
label_information,6497,61.02,6512,61.16,0.13999999999999346
instructionforuse,5689,53.43,5669,53.25,-0.17999999999999972
features,5328,50.04,5344,50.19,0.14999999999999858
image_url_2,4433,41.63,4430,41.61,-0.020000000000003126
rating,2391,22.45,2375,22.31,-0.14000000000000057
review,2391,22.45,2375,22.31,-0.14000000000000057
ingredients,2315,21.74,2314,21.73,-0.00999999999999801
producthierarchy_level4,545,5.12,498,4.68,-0.4400000000000004
promotion_valid_from,417,3.92,396,3.72,-0.19999999999999973
price_valid_from,417,3.92,396,3.72,-0.19999999999999973
producthierarchy_level3,91,0.85,46,0.43,-0.42
producthierarchy_level2,83,0.78,38,0.36,-0.42000000000000004
currency,0,0.0,0,0.0,0.0
breadcrumb,0,0.0,0,0.0,0.0
competitor_name,0,0.0,0,0.0,0.0
brand,0,0.0,0,0.0,0.0
barcode,0,0.0,0,0.0,0.0
competitor_product_key,0,0.0,0,0.0,0.0
extraction_date,0,0.0,0,0.0,0.0
image_url_1,0,0.0,0,0.0,0.0
grammage_unit,0,0.0,0,0.0,0.0
grammage_quantity,0,0.0,0,0.0,0.0
instock,0,0.0,0,0.0,0.0
price_per_unit,0,0.0,0,0.0,0.0
product_unique_key,0,0.0,0,0.0,0.0
product_name,0,0.0,0,0.0,0.0
organictype,0,0.0,0,0.0,0.0
producthierarchy_level1,0,0.0,0,0.0,0.0
product_description,0,0.0,0,0.0,0.0
pdp_url,0,0.0,0,0.0,0.0
selling_price,0,0.0,0,0.0,0.0
site_shown_uom,0,0.0,0,0.0,0.0
regular_price,0,0.0,0,0.0,0.0
retail_limit,0,0.0,0,0.0,0.0
unique_id,0,0.0,0,0.0,0.0
